Código,Descripción,GRUPO,Clasificación Sistemas JMC,SEGMENTO,Clasificación Partes JMC,TIPO
T027,FRACTURAS QUE AFECTAN EL TORAX CON LA REGION LUMBOSACRA Y LA PELVIS CON MIEMBRO(S),40.0,9.0,42.0,92.0,7.0
T028,FRACTURAS QUE AFECTAN OTRAS COMBINACIONES DE REGIONES DEL CUERPO,40.0,9.0,23.0,47.0,7.0
T029,"FRACTURAS MULTIPLES, NO ESPECIFICADOS",40.0,9.0,23.0,47.0,7.0
T030,"LUXACIONES, TORCEDURAS Y ESGUINCES QUE AFECTAN LA CABEZA CON EL CUELLO",40.0,9.0,4.0,24.0,6.0
T031,"LUXACIONES, TORCEDURAS Y ESGUINCES QUE AFECTAN EL TORAX CON LA REGION LUMBOSACRA Y LA PELVIS",40.0,9.0,6.0,55.0,6.0
T032,"LUXACIONES, TORCEDURAS Y ESGUINCES QUE AFECTAN MULTIPLES REGIONES DEL(DE LOS) MIEMBRO(S) SUPERIOR(ES)",40.0,9.0,28.0,47.0,6.0
T033,"LUXACIONES, TORCEDURAS Y ESGUINCES QUE AFECTAN MULTIPLES REGIONES DEL(DE LOS) MIEMBRO(S) INFERIOR(ES)",40.0,9.0,27.0,47.0,6.0
T034,"LUXACIONES, TORCEDURAS Y ESGUINCES QUE AFECTAN MULTIPLES REGIONES DEL(DE LOS) MIEMBRO(S) SUPERIOR(ES) CON MIEMBRO(S) INFERIOR(ES)",40.0,9.0,28.0,47.0,6.0
T038,"LUXACIONES, TORCEDURAS Y ESGUINCES QUE AFECTAN OTRAS COMBINACIONES DE REGIONES DEL CUERPO",40.0,9.0,23.0,47.0,6.0
T039,"LUXACIONES, TORCEDURAS Y ESGUINCES MULTIPLES, NO ESPECIFICADOS",40.0,9.0,23.0,47.0,6.0
T040,TRAUMATISMOS POR APLASTAMIENTO QUE AFECTAN LA CABEZA CON EL CUELLO,40.0,10.0,4.0,24.0,15.0
T041,"TRAUMATISMOS POR APLASTAMIENTO QUE AFECTAN EL TORAX CON EL ABDOMEN, LA REGION LUMBOSACRA Y LA PELVIS",40.0,10.0,42.0,92.0,15.0
T042,TRAUMATISMOS POR APLASTAMIENTO QUE AFECTAN MULTIPLES REGIONES DEL(DE LOS) MIEMBRO(S) SUPERIOR(ES),40.0,10.0,28.0,47.0,15.0
T043,TRAUMATISMOS POR APLASTAMIENTO QUE AFECTAN MULTIPLES REGIONES DEL(DE LOS) MIEMBRO(S) INFERIOR(ES),40.0,10.0,27.0,47.0,15.0
T044,TRAUMATISMOS POR APLASTAMIENTO QUE AFECTAN MULTIPLES REGIONES DEL(DE LOS) MIEMBRO(S) SUPERIOR(ES) CON MIEMBRO(S) INFERIOR(ES),40.0,10.0,28.0,47.0,15.0
T047,"TRAUMATISMOS POR APLASTAMIENTO DEL TORAX CON EL ABDOMEN, DE LA REGION LUMBOSACRA Y DE LA PELVIS CON MIEMBRO(S)",40.0,10.0,42.0,92.0,15.0
T048,TRAUMATISMOS POR APLASTAMIENTO QUE AFECTAN OTRAS COMBINACIONES DE REGIONES DEL CUERPO,40.0,10.0,23.0,47.0,15.0
T049,"TRAUMATISMOS POR APLASTAMIENTO MULTIPLES, NO ESPECIFICADOS",40.0,10.0,23.0,47.0,15.0
T050,AMPUTACION TRAUMATICA DE AMBAS MANOS,40.0,9.0,28.0,57.0,15.0
T051,"AMPUTACION TRAUMATICA DE UNA MANO Y EL OTRO BRAZO [CUALQUIER NIVEL, EXCEPTO MANO]",40.0,9.0,28.0,57.0,15.0
T052,AMPUTACION TRAUMATICA DE AMBOS BRAZOS [CUALQUIER NIVEL],40.0,10.0,28.0,9.0,15.0
T053,AMPUTACION TRAUMATICA DE AMBOS PIES,40.0,10.0,27.0,74.0,15.0
T054,"AMPUTACION TRAUMATICA DE UN PIE Y LA OTRA PIERNA [CUALQUIER NIVEL, EXCEPTO PIE]",40.0,9.0,27.0,76.0,15.0
T055,AMPUTACION TRAUMATICA DE AMBAS PIERNAS [CUALQUIER NIVEL],40.0,9.0,27.0,76.0,15.0
T056,"AMPUTACION TRAUMATICA DE MIEMBROS SUPERIOR(ES) E INFERIOR(ES), CUALQUIER COMBINACION [CUALQUIER NIVEL]",40.0,10.0,28.0,47.0,15.0
T058,AMPUTACION TRAUMATICA QUE AFECTA OTRAS COMBINACIONES DE REGIONES DEL CUERPO,40.0,10.0,23.0,47.0,15.0
T059,"AMPUTACION TRAUMATICA MULTIPLES, NO ESPECIFICADAS",40.0,10.0,23.0,47.0,15.0
T060,TRAUMATISMOS DEL ENCEFALO Y DE LOS NERVIOS CRANEALES CON TRAUMATISMO DE NERVIOS Y MEDULA ESPINAL A NIVEL DEL CUELLO,40.0,7.0,4.0,15.0,15.0
T061,TRAUMATISMOS DE NERVIOS Y MEDULA ESPINAL QUE AFECTAN OTRAS MULTIPLES REGIONES DEL CUERPO,40.0,7.0,31.0,47.0,15.0
T062,TRAUMATISMOS DE NERVIOS QUE AFECTAN MULTIPLES REGIONES DEL CUERPO,40.0,7.0,31.0,47.0,15.0
T063,TRAUMATISMOS DE VASOS SANGUINEOS QUE AFECTAN MULTIPLES REGIONES DEL CUERPO,40.0,10.0,44.0,47.0,15.0
T064,TRAUMATISMOS DE TENDONES Y MUSCULOS QUE AFECTAN MULTIPLES REGIONES DEL CUERPO,40.0,10.0,29.0,47.0,15.0
T065,TRAUMATISMOS DE ORGANOS INTRATORACICOS CON ORGANOS INTRAABDOMINALES Y PELVICOS,40.0,10.0,2.0,1.0,15.0
T068,OTROS TRAUMATISMOS ESPECIFICADOS QUE AFECTAN MULTIPLES REGIONES DEL CUERPO,40.0,10.0,23.0,47.0,15.0
T07X,"TRAUMATISMOS MULTIPLES, NO ESPECIFICADOS",40.0,9.0,23.0,47.0,15.0
T08X,"FRACTURA DE LA COLUMNA VERTEBRAL, NIVEL NO ESPECIFICADO",40.0,9.0,6.0,47.0,7.0
T090,"TRAUMATISMOS SUPERFICIAL DEL TRONCO, NIVEL NO ESPECIFICADO",40.0,10.0,42.0,92.0,15.0
T091,"HERIDA DEL TRONCO, NIVEL NO ESPECIFICADO",40.0,2.0,36.0,92.0,8.0
T092,"LUXACION, ESGUINCE O TORCEDURA DE ARTICULACION Y LIGAMENTOS DEL TRONCO, NO ESPECIFICADO",40.0,9.0,42.0,92.0,6.0
T093,"TRAUMATISMO DE LA MEDULA ESPINAL, NIVEL NO ESPECIFICADO",40.0,10.0,31.0,47.0,15.0
T094,"TRAUMATISMO DE NERVIOS, RAIZ DE NERVIO ESPINAL Y PLEXOS DEL TRONCO NO ESPECIFICADOS",40.0,7.0,23.0,47.0,15.0
T095,TRAUMATISMO DE TENDONES Y MUSCULOS DEL TRONCO NO ESPECIFICADOS,40.0,10.0,42.0,92.0,15.0
T096,"AMPUTACION TRAUMATICA DEL TRONCO, NIVEL NO ESPECIFICADO",40.0,10.0,42.0,92.0,15.0
T098,"OTROS TRAUMATISMOS ESPECIFICADOS DEL TRONCO, NIVEL NO ESPECIFICADO",40.0,10.0,42.0,92.0,15.0
T099,"TRAUMATISMO NO ESPECIFICADO DEL TRONCO, NIVEL NO ESPECIFICADO",40.0,10.0,42.0,92.0,15.0
T10X,"FRACTURA DE MIEMBRO SUPERIOR, NIVEL NO ESPECIFICADO",40.0,9.0,28.0,47.0,7.0
T110,"TRAUMATISMOS SUPERFICIAL DE MIEMBRO SUPERIOR, NIVEL NO ESPECIFICADO",40.0,10.0,28.0,47.0,15.0
T111,"HERIDA DE MIEMBRO SUPERIOR, NIVEL NO ESPECIFICADO",40.0,2.0,28.0,75.0,8.0
T112,"LUXACION, ESGUINCE O TORCEDURA DE ARTICULACION O LIGAMENTO NO ESPECIFICADO DE MIEMBRO SUPERIOR, NIVEL NO ESPECIFICADO",40.0,9.0,28.0,47.0,6.0
T113,"TRAUMATISMO DE NERVIO NO ESPECIFICADO DE MIEMBRO SUPERIOR, NIVEL NO ESPECIFICADO",40.0,7.0,28.0,47.0,15.0
T114,"TRAUMATISMO DE VASOS SANGUINEOS NO ESPECIFICADOS DE MIEMBRO SUPERIOR, NIVEL NO ESPECIFICADO",40.0,10.0,28.0,47.0,15.0
T115,"TRAUMATISMO DE TENDON Y MUSCULO NO ESPECIFICADOS DE MIEMBRO SUPERIOR, NIVEL NO ESPECIFICADO",40.0,10.0,28.0,47.0,15.0
T116,"AMPUTACION TRAUMATICA DE MIEMBRO SUPERIOR, NIVEL NO ESPECIFICADO",40.0,10.0,28.0,47.0,15.0
T118,"OTROS TRAUMATISMOS ESPECIFICADOS DE MIEMBRO SUPERIOR, NIVEL NO ESPECIFICADO",40.0,9.0,28.0,47.0,15.0
T119,"TRAUMATISMO NO ESPECIFICADO DE MIEMBRO SUPERIOR, NIVEL NO ESPECIFICADO",40.0,10.0,28.0,47.0,15.0
T12X,"FRACTURA DE MIEMBRO INFERIOR, NIVEL NO ESPECIFICADO",40.0,9.0,27.0,47.0,7.0
T130,"TRAUMATISMO SUPERFICIAL DE MIEMBRO INFERIOR, NIVEL NO ESPECIFICADO",40.0,9.0,27.0,47.0,15.0
T131,"HERIDA DE MIEMBRO INFERIOR, NIVEL NO ESPECIFICADO",40.0,2.0,27.0,47.0,8.0
T132,"LUXACION, ESGUINCE O TORCEDURA DE ARTICULACION Y LIGAMENTOS NO ESPECIFICADOS DE MIEMBRO INFERIOR, NIVEL NO ESPECIFICADO",40.0,9.0,27.0,47.0,6.0
T133,"TRAUMATISMO DE NERVIOS NO ESPECIFICADOS DE MIEMBRO INFERIOR, NIVEL NO ESPECIFICADO",40.0,7.0,27.0,47.0,15.0
T134,"TRAUMATISMO DE VASOS SANGUINEOS NO ESPECIFICADOS DE MIEMBRO INFERIOR, NIVEL NO ESPECIFICADO",40.0,10.0,27.0,47.0,15.0
T135,"TRAUMATISMO DE TENDONES Y MUSCULOS NO ESPECIFICADOS DE MIEMBRO INFERIOR, NIVEL NO ESPECIFICADO",40.0,9.0,27.0,47.0,15.0
T136,"AMPUTACION TRAUMATICA DE MIEMBRO INFERIOR, NIVEL NO ESPECIFICADO",40.0,9.0,27.0,47.0,15.0
T138,"OTROS TRAUMATISMOS ESPECIFICADOS DE MIEMBRO INFERIOR, NIVEL NO ESPECIFICADO",40.0,9.0,27.0,47.0,15.0
T139,"TRAUMATISMO NO ESPECIFICADO DE MIEMBRO INFERIOR, NIVEL NO ESPECIFICADO",40.0,9.0,27.0,47.0,15.0
T140,TRAUMATISMOS SUPERFICIAL DE REGION NO ESPECIFICADA DEL CUERPO,40.0,10.0,23.0,47.0,15.0
T141,HERIDA DE REGION NO ESPECIFICADA DEL CUERPO,40.0,2.0,36.0,47.0,8.0
T142,FRACTURA DE REGION NO ESPECIFICADA DEL CUERPO,40.0,9.0,23.0,47.0,7.0
T143,"LUXACION, ESGUINCE O TORCEDURA DE REGION NO ESPECIFICADA DEL CUERPO",40.0,9.0,23.0,47.0,6.0
T144,TRAUMATISMO DE NERVIO(S) DE REGION NO ESPECIFICADA DEL CUERPO,40.0,7.0,23.0,47.0,15.0
T145,TRAUMATISMO DE VASO(S) SANGUINEO(S) DE REGION NO ESPECIFICADA DEL CUERPO,40.0,10.0,44.0,47.0,15.0
T146,TRAUMATISMO DE TENDONES Y MUSCULOS DE REGION NO ESPECIFICADA DEL CUERPO,40.0,10.0,29.0,47.0,15.0
T147,TRAUMATISMO POR APLASTAMIENTO Y AMPUTACION TRAUMATICA DE REGIONES NO ESPECIFICADAS DEL CUERPO,40.0,10.0,23.0,47.0,15.0
T148,OTROS TRAUMATISMOS DE REGION NO ESPECIFICADA DEL CUERPO,40.0,10.0,23.0,47.0,15.0
T149,"TRAUMATISMO, NO ESPECIFICADO",40.0,9.0,23.0,47.0,15.0
T150,CUERPO EXTRAÑO EN LA CORNEA,40.0,10.0,4.0,66.0,4.0
T151,CUERPO EXTRAÑO EN EL SACO CONJUNTIVAL,40.0,10.0,4.0,66.0,4.0
T158,CUERPO EXTRAÑO EN OTRAS Y EN MULTIPLES PARTES DE LA PARTE EXTERNA DEL OJO,40.0,10.0,4.0,66.0,4.0
T159,"CUERPO EXTRAÑO EN PARTE EXTERNA DEL OJO, SITIO NO ESPECIFICADO",40.0,10.0,4.0,66.0,4.0
T16X,CUERPO EXTRAÑO EN EL OIDO,40.0,11.0,4.0,65.0,4.0
T170,CUERPO EXTRAÑO EN SENO PARANASAL,40.0,11.0,4.0,62.0,4.0
T171,CUERPO EXTRAÑO EN EL ORIFICIO NASAL,40.0,11.0,4.0,62.0,4.0
T172,CUERPO EXTRAÑO EN LA FARINGE,40.0,11.0,16.0,24.0,4.0
T173,CUERPO EXTRAÑO EN LA LARINGE,40.0,11.0,16.0,24.0,4.0
T174,CUERPO EXTRAÑO EN LA TRAQUEA,40.0,11.0,45.0,93.0,4.0
T175,CUERPO EXTRAÑO EN BRONQUIOS,40.0,11.0,38.0,10.0,4.0
T178,CUERPO EXTRAÑO EN OTRAS Y EN MULTIPLES PARTES DE LAS VIAS RESPIRATORIAS,40.0,11.0,23.0,47.0,4.0
T179,"CUERPO EXTRAÑO EN LAS VIAS RESPIRATORIAS, PARTE NO ESPECIFICADA",40.0,11.0,23.0,47.0,4.0
T180,CUERPO EXTRAÑO EN LA BOCA,40.0,3.0,23.0,13.0,4.0
T181,CUERPO EXTRAÑO EN EL ESOFAGO,40.0,3.0,11.0,36.0,4.0
T182,CUERPO EXTRAÑO EN EL ESTOMAGO,40.0,3.0,17.0,37.0,4.0
T183,CUERPO EXTRAÑO EN EL INTESTINO DELGADO,40.0,3.0,26.0,47.0,4.0
T184,CUERPO EXTRAÑO EN EL COLON,40.0,3.0,26.0,20.0,4.0
T185,CUERPO EXTRAÑO EN EL ANO Y EN EL RECTO,40.0,3.0,26.0,81.0,4.0
T188,CUERPO EXTRAÑO EN OTRAS Y EN MULTIPLES PARTES DEL TUBO DIGESTIVO,40.0,3.0,11.0,47.0,4.0
T189,"CUERPO EXTRAÑO EN EL TUBO DIGESTIVO, PARTE NO ESPECIFICADA",40.0,3.0,11.0,47.0,4.0
T190,CUERPO EXTRAÑO EN LA URETRA,40.0,12.0,43.0,96.0,4.0
T191,CUERPO EXTRAÑO EN LA VEJIGA,40.0,12.0,43.0,100.0,4.0
T192,CUERPO EXTRAÑO EN LA VULVA Y EN LA VAGINA,40.0,6.0,19.0,98.0,4.0
T193,CUERPO EXTRAÑO EN EL UTERO [CUALQUIER PARTE],40.0,6.0,19.0,97.0,4.0
T198,CUERPO EXTRAÑO EN OTRAS Y EN MULTIPLES PARTES DE LAS VIAS GENITOURINARIAS,40.0,12.0,43.0,47.0,4.0
T199,"CUERPO EXTRAÑO EN LAS VIAS GENITOURINARIAS, PARTE NO ESPECIFICADA",40.0,12.0,43.0,47.0,4.0
T200,"QUEMADURA DE LA CABEZA Y DEL CUELLO, GRADO NO ESPECIFICADO",40.0,2.0,36.0,11.0,12.0
T201,"QUEMADURA DE LA CABEZA Y DEL CUELLO, DE PRIMER GRADO",40.0,2.0,36.0,11.0,12.0
T202,"QUEMADURA DE LA CABEZA Y DEL CUELLO, DE SEGUNDO GRADO",40.0,2.0,36.0,11.0,12.0
T203,"QUEMADURA DE LA CABEZA Y DEL CUELLO, DE TERCER GRADO",40.0,2.0,36.0,11.0,12.0
T204,"CORROSION DE LA CABEZA Y DEL CUELLO, GRADO NO ESPECIFICADO",40.0,10.0,4.0,24.0,15.0
T205,"CORROSION DE LA CABEZA Y DEL CUELLO, DE PRIMER GRADO",40.0,10.0,4.0,24.0,15.0
T206,"CORROSION DE LA CABEZA Y DEL CUELLO, DE SEGUNDO GRADO",40.0,10.0,4.0,24.0,15.0
T207,"CORROSION DE LA CABEZA Y DEL CUELLO, DE TERCER GRADO",40.0,10.0,4.0,24.0,15.0
T210,"QUEMADURA DEL TRONCO, GRADO NO ESPECIFICADO",40.0,2.0,36.0,92.0,12.0
T211,"QUEMADURA DEL TRONCO, DE PRIMER GRADO",40.0,2.0,36.0,92.0,12.0
T212,"QUEMADURA DEL TRONCO, DE SEGUNDO GRADO",40.0,2.0,36.0,92.0,12.0
T213,"QUEMADURA DEL TRONCO, DE TERCER GRADO",40.0,2.0,36.0,92.0,12.0
T214,"CORROSION DEL TRONCO, GRADO NO ESPECIFICADO",40.0,10.0,42.0,92.0,15.0
T215,"CORROSION DEL TRONCO, DE PRIMER GRADO",40.0,10.0,42.0,92.0,15.0
T216,"CORROSION DEL TRONCO, DE SEGUNDO GRADO",40.0,10.0,42.0,92.0,15.0
T217,"CORROSION DEL TRONCO, DE TERCER GRADO",40.0,10.0,42.0,92.0,15.0
T220,"QUEMADURA DEL HOMBRO Y MIEMBRO SUPERIOR, GRADO NO ESPECIFICADO, EXCEPTO DE LA MUÑECA Y DE LA MANO",40.0,2.0,28.0,45.0,12.0
T221,"QUEMADURA DEL HOMBRO Y MIEMBRO SUPERIOR, DE PRIMER GRADO, EXCEPTO DE LA MUÑECA Y DE LA MANO",40.0,2.0,28.0,45.0,12.0
T222,"QUEMADURA DEL HOMBRO Y MIEMBRO SUPERIOR, DE SEGUNDO GRADO, EXCEPTO DE LA MUÑECA Y DE LA MANO",40.0,2.0,28.0,45.0,12.0
T223,"QUEMADURA DEL HOMBRO Y MIEMBRO SUPERIOR, DE TERCER GRADO, EXCEPTO DE LA MUÑECA Y DE LA MANO",40.0,2.0,28.0,45.0,12.0
T224,"CORROSION DEL HOMBRO Y MIEMBRO SUPERIOR, GRADO NO ESPECIFICADO, EXCEPTO DE LA MUÑECA Y DE LA MANO",40.0,9.0,28.0,45.0,15.0
T225,"CORROSION DEL HOMBRO Y MIEMBRO SUPERIOR, DE PRIMER GRADO, EXCEPTO DE LA MUÑECA Y DE LA MANO",40.0,9.0,28.0,45.0,15.0
T226,"CORROSION DEL HOMBRO Y MIEMBRO SUPERIOR, DE SEGUNDO GRADO, EXCEPTO DE LA MUÑECA Y DE LA MANO",40.0,9.0,28.0,45.0,15.0
T227,"CORROSION DEL HOMBRO Y MIEMBRO SUPERIOR, DE TERCER GRADO, EXCEPTO DE LA MUÑECA Y DE LA MANO",40.0,9.0,28.0,45.0,15.0
T230,"QUEMADURA DE LA MUÑECA Y DE LA MANO, GRADO NO ESPECIFICADO",40.0,2.0,36.0,75.0,12.0
T231,"QUEMADURA DE LA MUÑECA Y DE LA MANO, DE PRIMER GRADO",40.0,2.0,36.0,57.0,12.0
T232,"QUEMADURA DE LA MUÑECA Y DE LA MANO, DE SEGUNDO GRADO",40.0,2.0,36.0,57.0,12.0
T233,"QUEMADURA DE LA MUÑECA Y DE LA MANO, DE TERCER GRADO",40.0,2.0,36.0,57.0,12.0
T234,"CORROSION DE LA MUÑECA Y DE LA MANO, GRADO NO ESPECIFICADO",40.0,9.0,28.0,57.0,15.0
T235,"CORROSION DE LA MUÑECA Y DE LA MANO, DE PRIMER GRADO",40.0,9.0,28.0,57.0,15.0
T236,"CORROSION DE LA MUÑECA Y DE LA MANO, DE SEGUNDO GRADO",40.0,9.0,28.0,57.0,15.0
T237,"CORROSION DE LA MUÑECA Y DE LA MANO, DE TERCER GRADO",40.0,9.0,28.0,57.0,15.0
T240,"QUEMADURA DE LA CADERA Y DEL MIEMBRO INFERIOR, GRADO NO ESPECIFICADO, EXCEPTO TOBILLO Y PIE",40.0,2.0,27.0,12.0,12.0
T241,"QUEMADURA DE LA CADERA Y DEL MIEMBRO INFERIOR, DE PRIMER GRADO, EXCEPTO TOBILLO Y PIE",40.0,2.0,27.0,12.0,12.0
T242,"QUEMADURA DE LA CADERA Y DEL MIEMBRO INFERIOR, DE SEGUNDO GRADO, EXCEPTO TOBILLO Y PIE",40.0,2.0,27.0,12.0,12.0
T243,"QUEMADURA DE LA CADERA Y DEL MIEMBRO INFERIOR, DE TERCER GRADO, EXCEPTO TOBILLO Y PIE",40.0,2.0,27.0,12.0,12.0
T244,"CORROSION DE LA CADERA Y DEL MIEMBRO INFERIOR, GRADO NO ESPECIFICADO, EXCEPTO TOBILLO Y PIE",40.0,10.0,27.0,12.0,15.0
T245,"CORROSION DE LA CADERA Y DEL MIEMBRO INFERIOR, DE PRIMER GRADO, EXCEPTO TOBILLO Y PIE",40.0,10.0,27.0,12.0,15.0
T246,"CORROSION DE LA CADERA Y DEL MIEMBRO INFERIOR, DE SEGUNDO GRADO, EXCEPTO TOBILLO Y PIE",40.0,10.0,27.0,12.0,15.0
T247,"CORROSION DE LA CADERA Y DEL MIEMBRO INFERIOR, DE TERCER GRADO, EXCEPTO TOBILLO Y PIE",40.0,10.0,27.0,12.0,15.0
T250,"QUEMADURA DEL TOBILLO Y DEL PIE, GRADO NO ESPECIFICADO",40.0,2.0,36.0,74.0,12.0
T251,"QUEMADURA DEL TOBILLO Y DEL PIE, DE PRIMER GRADO",40.0,2.0,36.0,74.0,12.0
T252,"QUEMADURA DEL TOBILLO Y DEL PIE, DE SEGUNDO GRADO",40.0,2.0,36.0,74.0,12.0
T253,"QUEMADURA DEL TOBILLO Y DEL PIE, DE TERCER GRADO",40.0,2.0,36.0,74.0,12.0
T254,"CORROSION DEL TOBILLO Y DEL PIE, GRADO NO ESPECIFICADO",40.0,10.0,27.0,74.0,15.0
T255,"CORROSION DEL TOBILLO Y DEL PIE, DE PRIMER GRADO",40.0,10.0,27.0,74.0,15.0
T256,"CORROSION DEL TOBILLO Y DEL PIE, DE SEGUNDO GRADO",40.0,10.0,27.0,74.0,15.0
T257,"CORROSION DEL TOBILLO Y DEL PIE, DE TERCER GRADO",40.0,10.0,27.0,74.0,15.0
T260,QUEMADURA DEL PARPADO Y AREA PERIOCULAR,40.0,2.0,36.0,13.0,12.0
T261,QUEMADURA DE LA CORNEA Y SACO CONJUNTIVAL,40.0,2.0,36.0,13.0,12.0
T262,QUEMADURA CON RUPTURA Y DESTRUCCION RESULTANTES DEL GLOBO OCULAR,40.0,2.0,36.0,13.0,12.0
T263,QUEMADURA DE OTRAS PARTES DEL OJO Y SUS ANEXOS,40.0,2.0,36.0,13.0,12.0
T264,"QUEMADURA DEL OJO Y ANEXOS, PARTE NO ESPECIFICADA",40.0,2.0,36.0,13.0,12.0
T265,CORROSION DEL PARPADO Y AREA PERIOCULAR,40.0,10.0,4.0,66.0,15.0
T266,CORROSION DE LA CORNEA Y SACO CONJUNTIVAL,40.0,10.0,4.0,66.0,15.0
T267,CORROSION CON RUPTURA Y DESTRUCCION RESULTANTES DEL GLOBO OCULAR,40.0,10.0,4.0,66.0,15.0
T268,CORROSION DE OTRAS PARTES DEL OJO Y SUS ANEXOS,40.0,10.0,4.0,66.0,15.0
T269,"CORROSION DEL OJO Y ANEXOS, PARTE NO ESPECIFICADA",40.0,10.0,23.0,47.0,15.0
T270,QUEMADURA DE LA LARINGE Y LA TRAQUEA,40.0,2.0,36.0,53.0,12.0
T271,QUEMADURA QUE AFECTA LA LARINGE Y LA TRAQUEA CON EL PULMON,40.0,2.0,36.0,53.0,12.0
T272,QUEMADURA DE OTRAS PARTES DE LAS VIAS RESPIRATORIAS,40.0,2.0,36.0,83.0,12.0
T273,"QUEMADURA DE LAS VIAS RESPIRATORIAS, PARTE NO ESPECIFICADA",40.0,2.0,36.0,83.0,12.0
T274,CORROSION DE LA LARINGE Y DE LA TRAQUEA,40.0,10.0,4.0,40.0,15.0
T275,CORROSION QUE AFECTA LA LARINGE Y LA TRAQUEA CON EL PULMON,40.0,10.0,38.0,80.0,15.0
T276,CORROSION DE OTRAS PARTES DE LAS VIAS RESPIRATORIAS,40.0,10.0,38.0,80.0,15.0
T277,"CORROSION DE LAS VIAS RESPIRATORIAS, PARTE NO ESPECIFICADA",40.0,10.0,23.0,47.0,15.0
T280,QUEMADURA DE LA BOCA Y DE LA FARINGE,40.0,2.0,36.0,38.0,12.0
T281,QUEMADURA DEL ESOFAGO,40.0,2.0,36.0,36.0,12.0
T282,QUEMADURA DE OTRAS PARTES DEL TUBO DIGESTIVO,40.0,2.0,36.0,29.0,12.0
T283,QUEMADURA DE ORGANOS GENITOURINARIOS INTERNOS,40.0,2.0,36.0,41.0,12.0
T284,QUEMADURA DE OTROS ORGANOS INTERNOS Y DE LOS NO ESPECIFICADOS,40.0,2.0,36.0,47.0,12.0
T285,CORROSION DE LA BOCA Y DE LA FARINGE,40.0,10.0,4.0,40.0,15.0
T286,CORROSION DEL ESOFAGO,40.0,10.0,11.0,36.0,15.0
T287,CORROSION DE OTRAS PARTES DEL TUBO DIGESTIVO,40.0,10.0,11.0,47.0,15.0
T288,CORROSION DE ORGANOS GENITOURINARIOS INTERNOS,40.0,12.0,43.0,47.0,15.0
T289,CORROSION DE OTROS ORGANOS INTERNOS Y DE LOS NO ESPECIFICADOS,40.0,10.0,23.0,47.0,15.0
T290,"QUEMADURAS DE MULTIPLES REGIONES, GRADO NO ESPECIFICADO",40.0,2.0,36.0,47.0,12.0
T291,"QUEMADURAS DE MULTIPLES REGIONES, MENCIONADAS COMO DE NO MAS DE PRIMER GRADO",40.0,2.0,36.0,47.0,12.0
T292,"QUEMADURAS DE MULTIPLES REGIONES, MENCIONADAS COMO DE NO MAS DE SEGUNDO GRADO",40.0,2.0,36.0,47.0,12.0
T293,"QUEMADURAS DE MULTIPLES REGIONES, CON MENCION AL MENOS DE UNA QUEMADURA DE TERCER GRADO",40.0,2.0,36.0,47.0,12.0
T294,"CORROSIONES DE MULTIPLES REGIONES, GRADO NO ESPECIFICADO",40.0,10.0,23.0,47.0,15.0
T295,"CORROSIONES MULTIPLES, MENCIONADAS COMO DE NO MAS DE PRIMER GRADO",40.0,10.0,23.0,47.0,15.0
T296,"CORROSIONES MULTIPLES, MENCIONADAS COMO DE NO MAS DE SEGUNDO GRADO",40.0,10.0,23.0,47.0,15.0
T297,"CORROSIONES MULTIPLES, CON MENCION AL MENOS DE UNA QUEMADURA DE TERCER GRADO",40.0,2.0,36.0,47.0,12.0
T300,QUEMADURA DE REGION DEL CUERPO Y GRADO NO ESPECIFICADOS,40.0,2.0,36.0,47.0,12.0
T301,"QUEMADURA DE PRIMER GRADO, REGION DEL CUERPO NO ESPECIFICADA",40.0,2.0,36.0,47.0,12.0
T302,"QUEMADURA DE SEGUNDO GRADO, REGION DEL CUERPO NO ESPECIFICADA",40.0,2.0,36.0,75.0,12.0
T303,"QUEMADURA DE TERCER GRADO, REGION DEL CUERPO NO ESPECIFICADA",40.0,2.0,36.0,47.0,12.0
T304,CORROSION DE REGION DEL CUERPO Y GRADO NO ESPECIFICADOS,40.0,10.0,23.0,47.0,15.0
T305,"CORROSION DE PRIMER GRADO, REGION DEL CUERPO NO ESPECIFICADA",40.0,10.0,23.0,47.0,15.0
T306,"CORROSION DE SEGUNDO GRADO, REGION DEL CUERPO NO ESPECIFICADA",40.0,10.0,23.0,47.0,15.0
T307,"CORROSION DE TERCER GRADO, REGION DEL CUERPO NO ESPECIFICADA",40.0,10.0,23.0,47.0,15.0
T310,QUEMADURAS QUE AFECTAN MENOS DEL 10% DE LA SUPERFICIE DEL CUERPO,40.0,2.0,36.0,47.0,12.0
T311,QUEMADURAS QUE AFECTAN DEL 10% AL 19% DE LA SUPERFICIE DEL CUERPO,40.0,2.0,36.0,47.0,12.0
T312,QUEMADURAS QUE AFECTAN DEL 20% AL 29% DE LA SUPERFICIE DEL CUERPO,40.0,2.0,36.0,47.0,12.0
T313,QUEMADURAS QUE AFECTAN DEL 30% AL 39% DE LA SUPERFICIE DEL CUERPO,40.0,2.0,36.0,47.0,12.0
T314,QUEMADURAS QUE AFECTAN DEL 40% AL 49% DE LA SUPERFICIE DEL CUERPO,40.0,2.0,36.0,47.0,12.0
T315,QUEMADURAS QUE AFECTAN DEL 50% AL 59% DE LA SUPERFICIE DEL CUERPO,40.0,2.0,36.0,47.0,12.0
